


+------------------+-------------------------------------------+-------------------------------------------+-----------------+---------+----------------+---------+------+------+------+------+------------+------------+------------+----------------------------------+------------------------------------------+------------------------------------------------------------------+--------+------------+
| line             | path                                      | target_path                               | category        | action  | transaction_id | inode   | uid  | gid  | mode | size | atime      | mtime      | ctime      | md5                              | sha1                                     | sha256                                                           | hashed | time       |
| line2            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772740927 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line3            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772740927 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
|                  | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772740927 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line5            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772740927 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| Im adding line 6 | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772740927 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line1            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line2            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line3            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
|                  | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
| line5            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 21   | 1772741084 | 1772741084 | 1772741084 | 154c74295bd4de751d5ecbcc2ab94489 | 3db1a7f4cb2111ea983589bfd48707198c8909f9 | 2d92873b4c06c03155506248add0ca0e6b8e60e8fe6a177aa600d289ef5834df | 1      | 1772741084 |
